"Reference ID","Author Key","Title","Authors","DOI","Trial ID","Date","Abstract Screening Decision","Full Text Screening Decision","Study Group","Notes","Animal Model","Authors and Publication Year","Anatomical connections","Verification of Zona Incerta Targeting","Photometry Data","Electrophysiology Data","Purpose of this circuit","Necessity vs. sufficiency or Both"
"AIM-65","zhang.nodated","Identification of a Hippocampus-to-Zona Incerta Projection involved in Motor Learning.","Zhang ZH, Wang B, Peng Y, Xu YW, Li CH, Ning YL, Zhao Y, Shan FB, Zhang B, Yang N, Zhang J, Chen X, Xiong RP, Zhou YG, Li P","https://doi.org/10.1002/advs.202307185","","","ACCEPT","ACCEPT","zhang.nodated","","Male wild-type C57BL/6J mice","Zhuo-Hang Zhang; Bo Wang; Yan Peng; Ya-Wei Xu; Chang-Hong Li; Ya-Lei Ning; Yan Zhao; Fa-Bo Shan; Bo Zhang; Nan Yang; Jing Zhang; Xing Chen; Ren-Ping Xiong; Yuan-Guo Zhou; Ping Li, 2024","Dorsal CA1 → Zona Incerta (anterograde AAV-EF1α-mCherry); Dorsal Dentate Gyrus → Zona Incerta (anterograde AAV-hSyn-GFP); Zona Incerta → Dorsal CA1 (retrograde AAV2-retro-hSyn-eGFP); Zona Incerta → Dorsal Dentate Gyrus (retrograde AAV2-retro-hSyn-eGFP)","Immunohistochemical confirmation of viral expression in ZI with DAPI and NeuN staining; colocalization with CaMKII and absence of GAD; stereotaxic coordinates verified by Allen Mouse Brain Atlas","","","Regulation of motor learning stages: dorsal CA1→ZI for acquisition and consolidation; dorsal DG→ZI for retrieval/retention","Necessity"
"AIM-73","li.nodated","A neural circuit from thalamic paraventricular nucleus via zona incerta to periaqueductal gray for the facilitation of neuropathic pain.","Li D, Mai JW, Deng J, Chen L, Fan HT, Zhang WL, Xin WJ, Feng X, Xu T, Luo DX","https://doi.org/10.1016/j.nbd.2024.106699","","","ACCEPT","ACCEPT","li.nodated","","Male C57BL/6J mice (>8 weeks), and CaMKIIα-Cre and GAD2-Cre transgenic mice","Dai Li; Jing-Wen Mai; Jie Deng; Li Chen; Hai-Ting Fan; Wei-Lin Zhang; Wen-Jun Xin; Xia Feng; Ting Xu; De-Xing Luo (2024)","1) PVPCaMKIIα → ZIrGABA (monosynaptic anterograde tracing using AAV1-hSyn-Cre → AAV-DIO-mCherry in CaMKIIα-Cre mice; retrograde monosynaptic rabies tracing with TVA/EGFP/oRVG helper viruses in ZIr of GAD2-Cre mice followed by RV-ΔG-dsRed). 2) ZIrGABA → vlPAGCaMKIIα (cell-type-specific retrograde monosynaptic rabies tracing with AAV-DIO-TVA-EGFP and AAV-DIO-oRVG into vlPAG of CaMKIIα-Cre mice, RV-ΔG-dsRed). 3) PVPCaMKIIα → ZIrGABA → vlPAGCaMKIIα (triple retrograde tracing: AAVretro-DIO-mCherry-TVA-oRVG into vlPAG, AAV-VGAT-Cre into ZIr, RV-ΔG-EGFP into ZIr).","Immunohistochemistry (co-labeling of mCherry/EGFP with GABA and CaMKIIα antibodies) to confirm virus expression in rostral ZI; verification of optical fiber and cannula tracts by fluorescence microscopy.","1) vlPAGCaMKIIα neurons: bulk fiber photometry of AAV-CaMKIIα-GCaMP6s signals during 5-min resting state, showing decreased ΔF/F area under curve in SNI vs sham. 2) ZIrGABA neurons: fiber photometry of AAV-VGAT-GCaMP6s during red-light (635 nm, 20 Hz) ChrimsonR activation of PVPCaMKIIα→ZIr terminals, showing rapid increase in ΔF/F. 3) vlPAGCaMKIIα neurons: fiber photometry of AAV-CaMKIIα-GCaMP6s during red-light (635 nm) activation of ZIrGABA terminals, showing rapid decrease in ΔF/F.","1) vlPAGCaMKIIα neurons: Two-way ANOVA on current-evoked firing, F(1,53)=19.33, P<0.0001 (decreased firing in SNI vs sham). 2) ZIrGABA→vlPAGCaMKIIα projectors: F(1,28)=24.83, P<0.0001 (increased firing in SNI). 3) PVPCaMKIIα→ZIrGABA projectors: F(1,25)=8.646, P=0.007 (increased firing in SNI). 4) CNO application and optogenetic stimulation validated hM3Dq/hM4Di and ChR2/eNpHR function by measuring membrane potential and synaptic currents.","To facilitate the development and maintenance of neuropathic pain hypersensitivity via descending facilitation.","Both"
"AIM-77","ge.nodate","Ventral zona incerta parvalbumin neurons modulate sensory-induced and stress-induced self-grooming via input-dependent mechanisms in mice.","Ge J, Ren P, Tian B, Li J, Qi C, Huang Q, Ren K, Hu E, Mao H, Zang Y, Wu S, Xue Q, Wang W","https://doi.org/10.1016/j.isci.2024.110165","","","ACCEPT","ACCEPT","ge.nodate","","C57BL/6J wild‐type mice; PV‐IRES‐Cre mice; SST‐IRES‐Cre mice; CaMKII‐IRES‐Cre mice; Ai9 reporter mice","Junye Ge; Pengfei Ren; Biqing Tian; Jiaqi Li; Chuchu Qi; Qiyi Huang; Keke Ren; Erling Hu; Honghui Mao; Ying Zang; Shengxi Wu; Qian Xue; Wenting Wang; 2024","• S1^CaMKII → Ziv^PV neurons: retrograde monosynaptic rabies (RV‐EnvA‐ΔG‐DsRed) following rAAV‐EF1α‐DIO‐EGFP‐T2A‐TVA + oRVG in Ziv; anterograde AAV‐CaMKIIα‐mCherry injection into S1 (AP –1.00 mm, ML +3.05 mm, DV –1.50 mm) labels axons in Ziv; functional connectivity via optogenetically evoked EPSCs blocked by NBQX (n=4 cells; t=5.534, p=0.001).  
• CeA^SST → Ziv^PV neurons: retrograde monosynaptic rabies as above labels CeA^SST inputs; anterograde rAAV‐DIO‐EYFP injection into CeA (AP –1.15 mm, ML +2.90 mm, DV –4.68 mm) labels GABAergic axons in Ziv; functional connectivity via optogenetically evoked IPSCs reduced by bicuculline (n=4 cells; t=2.448, p=0.09).  
• Ziv^PV neuron outputs: anterograde rAAV‐hSyn‐DIO‐EYFP in Ziv reveals projections to ACC, LS, RSC, M1, LPMR, LPLR.  
• Local Ziv circuit: rAAV‐hSyn‐Flp in CeA and rAAV‐EF1α‐fDIO‐EGFP in Ziv shows CeA‐recipient PV neurons project to dorsal Ziv.","Postmortem histological verification by DAPI and PV immunofluorescence to confirm virus expression and fiber tracks in ventral ZI (Ziv); c‐Fos mapping across rostral, ventral, caudal ZI sectors.","Population: Ziv PV+ neurons; Indicator: GCaMP6s via rAAV‐hSyn‐DIO; Method: bulk fiber photometry; Epochs: spontaneous grooming (SG), oil‐induced grooming (OG), tail suspension‐induced grooming (TG); Signal change: increase in z‐score; Statistical tests & p‐values: SG p=0.046 (t=2.428), OG p=0.011 (Z=–2.558), TG p=0.009 (t=3.397); n animals: SG=5 GCaMP6s,4 EYFP; OG=6 GCaMP6s,4 EYFP; TG=6 GCaMP6s,4 EYFP; n trials: SG=61 vs 30; OG=103 vs 35; TG=86 vs 27.","• Optogenetically evoked EPSCs in ZivPV neurons: amplitude blocked by NBQX (n=4 neurons; t=5.534, df=6, p=0.001).  
• Optogenetically evoked IPSCs in ZivPV neurons: reduction by bicuculline (n=4 neurons; t=2.448, df=3, p=0.09).  
• ChR2 activation (473 nm, 20 Hz, 5 ms) elicits phase‐locked spiking in ZivPV neurons.","To integrate primary sensory (S1 glutamatergic) and emotional (CeA GABAergic) inputs in ventral ZI PV neurons to modulate spontaneous, sensory‐induced, and stress‐induced self‐grooming behavior.","Both necessity and sufficiency"
"AIM-37","singh.nodate","An inhibitory circuit from central amygdala to zona incerta drives pain-related behaviors in mice.","Singh S, Wilson TD, Valdivia S, Benowitz B, Chaudhry S, Ma J, Adke AP, Soler-Cedeno O, Velasquez D, Penzo MA, Carrasquillo Y","https://doi.org/10.7554/elife.68760","","","ACCEPT","ACCEPT","singh.nodate","","Mice, including PKCδ-cre::Ai9, VGAT-cre::Ai9, C57BL/6NJ, PKCδ-cre and VGAT-cre lines","Sudhuman Singh, Torri D Wilson, Spring Valdivia, Barbara Benowitz, Sarah Chaudhry, Jun Ma, Anisha P Adke, Omar Soler-Cedeño, Daniela Velasquez, Mario A Penzo, Yarimar Carrasquillo; 2022","Anterograde AAV-DIO-mCherry/ChrimsonR-tdTomato tracing: CeA-PKCδ → multiple targets including ZI, BNST, extended amygdala, substantia innominata, subthalamic nucleus, para-subthalamic nucleus, lateral preoptic area, lateral hypothalamus, ventral tegmental area, substantia nigra, pedunculopontine tegmental nucleus, laterodorsal tegmental nucleus, periaqueductal grey, reticular formation, lateral parabrachial nucleus, locus coeruleus; Retrograde CTB-647 tracing: ZI → CeA (capsular and lateral subnuclei)","Histological verification of viral expression by mCherry immunostaining and mapping of injection sites onto the Paxinos and Franklin mouse brain atlas to confirm targeting of the ZI","","1) Cell types: VGAT-positive and VGAT-negative ZI neurons; 2) Functional connectivity: monosynaptic, GABAergic CeA→ZI inhibition; 3) Optogenetic ChR2 mapping: oIPSCs in 12/20 VGAT+ and 8/15 VGAT− neurons; 4) Pharmacology: oIPSCs blocked by 10 µM bicuculline; 5) Chemogenetic validation: hM4Di-transduced ZI neurons show decreased firing upon 10 µM CNO; 6) Recording conditions: 33 °C, ACSF, KMeSO₄ internal","This CeA-PKCδ→ZI pathway serves to inhibit ZI GABAergic neurons, thereby increasing pain sensitivity after nerve injury and promoting bidirectional modulation of pain-related behaviors.","Both"
"AIM-4","potter.nodate","Modulation of accumbens dopamine by MCH neurons during learning and consummatory behavior.","Potter LE, Toth BA, Manna J, Baron L, Lyons HC, Evans JR, Burgess CR","https://doi.org/10.1038/s41386-026-02351-z","","","ACCEPT","ACCEPT","potter.nodate","","Mouse (MCH-Cre (JAX 014099) mice and littermate controls; PmchΔVglut2 (MCH-vglut2-floxed) mice generated by crossing Pmch-iCre with Slc17a6tm1Lowl/J (JAX 012898); all food-restricted to 85% free-feeding weight)","Liam E. Potter; Brandon A. Toth; Jayeeta Manna; Lorelei Baron; Hannah C. Lyons; Jack R. Evans; Christian R. Burgess; 2026","LH/ZI MCH neurons → medial nucleus accumbens shell (mNAcSh); anterograde labeling via AAV5-Syn-FLEX-rc[ChrimsonR-tdTomato] in MCH-Cre mice; quantified MCH-ChrimsonR+ terminal density in 3 mice (fluorescence intensity)","Post-mortem histology confirming fiber locations and construct expression in LH/ZI region (Supplementary Fig. S1)","• MCH somata (LH/ZI) recorded with Cre-dependent GCaMP fiber photometry (n=14): increased z-scored ΔF/F to pellet retrieval (p=0.0001, paired t-test) and to predictive tone in Pavlovian conditioning (p=0.0273), stable across learning (Fig. 1C, 2E–H).  
• MCH axon terminals (mNAcSh) via GCaMP (n not specified separately): similar activation by cue and reward (Supplementary Fig. S5A).  
• DA release in lateral NAc core (lNAcc) via dLight1.1 (n=6): phasic pellet response early, emergence of cue response late (tone early vs. late p=0.0043; pellet p=0.0025) (Fig. 2B–C).  
• DA release in mNAcSh via dLight1.1 (n=10): pellet response shifts to cue over learning (tone p=0.0024; pellet p=0.0403) (Fig. 2D).  
• Simultaneous GRAB-rDA1m (mNAcSh) and GCaMP (LH/ZI) recordings (n=4): moderate coherence (0.5–0.8) across 0.1–10 Hz, phase-offset shift in 3–7 Hz band during feeding (Fig. 1D–J, 3).  
• Chemogenetic inhibition (HM4Di+CNO, n=4): enhanced DA release in mNAcSh (tone p=0.049; pellet p=0.0026) (Fig. 5A).  
• MCHR1 antagonist SNAP-94847 (n=4): increased pellet-evoked DA (p=0.0423) (Fig. 5B).  
• Optogenetic activation of MCH terminals (ChrimsonR, n=5): paired tone (p=0.051) and pellet (p=0.00365) increased DA release (Fig. 5C).  
Figures: Fig. 1–3, 5; Supplementary Figs. S3–S8.","","To determine how hypothalamic MCH neurons modulate nucleus accumbens dopamine release during feeding and associative learning.","Sufficiency"
"AIM-3","park.nodate","Neural correlates of multidimensional motor outputs in an excitatory parafascicular-zona incerta circuit.","Park G, Shin W, Park Y, Chung S, Kim D, Kim J","https://doi.org/10.1016/j.bbrc.2021.12.036","","","ACCEPT","ACCEPT","","","Male wild-type C57BL/6J mice (8–11 weeks old)","Geunhong Park, Wooyeon Shin, Yongjun Park, Sooyoung Chung, Daesoo Kim, Jeongjin Kim (2021)","Pathway 1: Pf (CaMKIIα+ neurons) → ZI; tracer: AAV8-CaMKIIa-CRE-GFP + AAV-DJ-hSyn-FLEX-mGFP-2A-synaptophysin-mRuby; injection into Pf (AP –2.4 mm, ML 0.75 mm, DV 3.4 mm; 0.5 μL); survival 2 weeks; n=3; quantification by mRuby/DAPI fluorescence intensity (Pf→ZI > Pf→STN; p=0.0067; two-tailed t-test; Fig. 2C–E).
Pathway 2: Pf (CaMKIIα+ neurons) → STN; same tracer and coordinates; sparse synaptic labeling compared to ZI (quantified in same assay).","Post-hoc histological verification via coronal brain sections (40 μm) with DAPI and confocal imaging to confirm viral expression and fiber-optic cannula placement in posterior ZI (AP –2.0 mm).","Population: CaMKIIα+ Pf→ZI projection neurons recorded via AAV-DJ-CaMKIIa-GCaMP6f and fiber photometry in ZI (n=4 mice).
Indicator: GCaMP6f.
Epochs and responses:
• Velocity transitions (0.5 cm/s threshold): no significant pre/post change (Two-way ANOVA, N.S.).
• Running vs freezing: no significant change.
• Turn right initiation: significant decrease in dF/F0 post-initiation (p<0.0001, Two-way ANOVA).
• Turn left initiation: significant increase post-initiation (p<0.0001).
• Horizontal sniffing initiation: significant decrease post-initiation (p=0.0008).
• Vertical sniffing initiation: no significant change.
GLM execution weights (one-sample t-test): vertical sniffing positive (p<0.01), turn left positive (p<0.05), grooming positive (p<0.05).
Fig. 3B–E; Fig. 4B–D.","","To characterize the anatomical and genetic properties of an excitatory PF→ZI circuit and determine how its activity correlates with multidimensional motor outputs, especially directional and dimensional changes in behavior.",""
"AIM-11","hormigo.nodate","Zona incerta distributes a broad movement signal that modulates behavior.","Hormigo S, Zhou J, Chabbert D, Sajid S, Busel N, Castro-Alamancos M","https://doi.org/10.7554/elife.89366","","","ACCEPT","ACCEPT","hormigo.nodate","","Adult (>8 weeks) male and female Vgat-Cre mice (Slc32a1tm2(cre)Lowl), 1.5–3 months old; and Vgatflox/flox mice for Vgat knockout experiments","Sebastian Hormigo; Ji Zhou; Dorian Chabbert; Sarmad Sajid; Natan Busel; Manuel Castro-Alamancos; 2023","","Histological verification via marking lesion above ZI aligned to the Allen Brain Atlas for electrophysiology and histological confirmation of optical fiber tracks in ZI aligned to the Allen Atlas for photometry","Bulk fiber photometry of GCaMP7f in Vgat-Cre ZI neurons during spontaneous exploration showed strong positive correlation of F/Fo with overall, rotational, and translational movement (N=8; Figure 3). Time-locked analyses revealed sharp F/Fo peaks at movement onset and during movement increases, with no difference for ipsi- vs. contraversive turns (Figure 4). Auditory mapping (4–16 kHz tones, 70–85 dB; 37 sessions, 8 mice) evoked F/Fo responses proportional to SPL and frequency, but responses were abolished by isoflurane anesthesia, indicating movement-dependence (Figure 5). In head-fixed photometry during signaled avoidance (AA1–AA4; N=8), ZI signals showed minimal CS-onset responses but robust peaks time-locked to active avoidance and escape movements, with no activation during passive avoidance (Figures 6–7).","","ZI GABAergic neurons distribute a generalized corollary motor signal of movement occurrence to their diverse projection targets to modulate exploratory and goal-directed behaviors.","Both"
"AIM-14","blanco-centurion.nodatea","Activity of a subset of vesicular GABA-transporter neurons in the ventral zona incerta anticipates sleep onset.","Blanco-Centurion C, Luo S, Vidal-Ortiz A, Swank C, Shiromani PJ","https://doi.org/10.1093/sleep/zsaa268","","","ACCEPT","ACCEPT","","","vGAT-IRES-Cre transgenic mice (n=5; male=3, female=2), 4 months old","Carlos Blanco-Centurion; SiWei Luo; Aurelio Vidal-Ortiz; Colby Swank; Priyattam J. Shiromani (2021)","","GRIN lens placement confirmed by post-mortem histology: confocal imaging of GCaMP6M expression showing dense labeling within ventral ZI","In vivo calcium imaging (GCaMP6M via rAAV-DJ-EF1a-DIO-GCaMP6M in vGAT-Cre mice) of 372 vGAT neurons in ventral ZI using an Inscopix nVista miniscope (10 Hz sampling). Behavioral states analyzed: active wake, quiet wake, NREMS, REMS transition, REMS proper. Neurons classified into REM-max (56.2%, n=209), wake-max (23.9%, n=89), wake/REM-max (5.9%, n=22), NREM-max (4.0%, n=15), and state-indifferent (9.9%, n=37). Temporal dynamics of fluorescence around state transitions quantified per group across 5 mice.","","To identify vGAT neuron subsets in ventral ZI whose activity anticipates sleep onset and may induce sleep by inhibiting arousal neurons.","Neither – only correlational evidence without tests of necessity or sufficiency."
"AIM-17","garau.nodate","Involvement of A13 dopaminergic neurons in prehensile movements but not reward in the rat.","Garau C, Hayes J, Chiacchierini G, McCutcheon JE, Apergis-Schoute J","https://doi.org/10.1016/j.cub.2023.09.044","","","ACCEPT","ACCEPT","garau.nodate","","Long-Evans TH-Cre rats","Celia Garau; Jessica Hayes; Giulia Chiacchierini; James E. McCutcheon; John Apergis-Schoute (2023)","A13-dopaminergic neurons → superior colliculus (SC) (anterograde and retrograde tracing); A13-dopaminergic neurons → reticular formation (RF) (anterograde and retrograde tracing)","Immunohistochemical colocalization of viral reporter (GCaMP6s, mCherry, GFP) with tyrosine hydroxylase in the rostromedial zona incerta (A13)","Population: A13 dopaminergic neurons (GCaMP6s in TH-Cre rats); Indicator: GCaMP6s via AAV and fiber photometry; Epochs: lever press (no ΔF/F change), chain pull rewarded/unrewarded (increase), two-bottle licking sucrose/condensed milk (no change) or water (increase), skilled reach-and-grasp success (increase vs baseline and vs miss), pasta handling (increase); N=5–8 rats per task.","","To control skilled prehensile actions such as grasping and handling of objects independently of reward.","necessity"
"AIM-18","farzinpour.nodate","Microglial Engulfment of Spines in the Ventral Zona Incerta Regulates Anxiety-Like Behaviors in a Mouse Model of Acute Pain.","Farzinpour Z, Liu A, Cao P, Mao Y, Zhang Z, Jin Y","https://doi.org/10.3389/fncel.2022.898346","","","ACCEPT","ACCEPT","farzinpour.nodate","","C57BL/6J; GAD2-Cre; Ai14 (RCL-tdT) mice (8–10 weeks old)","Farzinpour Z; Liu A; Cao P; Mao Y; Zhang Z; Jin Y (2022)","","Histological verification via immunofluorescence of injection and cannula/fiber tips in ZIV (–2.2 mm AP, 1.50 mm ML, 4.2 mm DV); exclusion of animals with off-target placements","","Whole-cell recordings from ZIV GABAergic neurons: (1) Cell type: ZIV GABA (GAD-tdTomato+) (2) Not reported (Cm) (3) Not reported (4) Not reported (Rin) (5) Not reported (6) Not reported (AP half-width) (7) Not reported (8) No depolarization blockade observed (9) Not applicable (10) Resting membrane potential: no change between groups (11) AP threshold: not reported (12) Evoked firing rate: decreased in CFA1D vs saline1D (13) Voltage sag: not reported (14) Sag magnitude: not reported (15) Rebound spiking: not reported (16) Recording temperature: 33 °C (17) Internal solution: K-gluconate-based (18–20) p-values reported for firing and mEPSC frequency (p<0.05) (21) Two-way ANOVA and t-tests (22) Figure 2 (23) No functional classification","To determine how ZIV GABA neuron activity modulates pain sensitivity and anxiety-like behaviors in acute inflammatory pain","Both"
"AIM-19","folgueira.nodate","Hypothalamic dopamine signaling regulates brown fat thermogenesis.","Folgueira C, Beiroa D, Porteiro B, Duquenne M, Puighermanal E, Fondevila MF, Barja-Fernandez S, Gallego R, Hernandez-Bautista R, Castelao C, Senra A, Seoane P, Gomez N, Aguiar P, Guallar D, Fidalgo M, Romero-Pico A, Adan R, Blouet C, Labandeira-Garcia JL, Jeanrenaud F, Kallo I, Liposits Z, Salvador J, Prevot V, Dieguez C, Lopez M, Valjent E, Fruhbeck G, Seoane LM, Nogueiras R","https://doi.org/10.1038/s42255-019-0099-7","","","ACCEPT","ACCEPT","","","Sprague–Dawley rats; wild-type (C57BL/6J) mice; triple β1/β2/β3-adrenergic receptor knockout mice; orexin (Hcrt) knockout mice; Drd2-Cre mice; Drd2-Cre:RiboTag mice; Vgat-ires-Cre mice; Vglut2-ires-Cre mice","Cintia Folgueira, Daniel Beiroa, Begoña Porteiro, Manon Duquenne, Emma Puighermanal, Marcos F. Fondevila, Silvia Barja-Fernández, Rosalia Gallego, René Hernández-Bautista, Cecilia Castelao, Ana Senra, Patricia Seoane, Noemi Gómez, Pablo Aguiar, Diana Guallar, Miguel Fidalgo, Amparo Romero-Pico, Roger Adan, Clemence Blouet, Jose Luís Labandeira-García, Françoise Jeanrenaud, Imre Kallo, Zsolt Liposits, Javier Salvador, Vincent Prevot, Carlos Dieguez, Miguel Lopez, Emmanuel Valjent, Gema Frühbeck, Luisa M. Seoane, Ruben Nogueiras; 2019","","Stereotaxic targeting using published coordinates for LHA/ZI (rats: AP –2.85 mm, ML ±2.0 mm, DV –8.1 mm; mice: AP –1.3 mm, ML ±1.1 mm, DV –5.2 mm) confirmed by GFP immunostaining of viral infection","","","To activate hypothalamic D2R-expressing neurons in the LHA/ZI, drive sympathetic outflow to brown adipose tissue, increase thermogenesis and energy expenditure, and thereby reduce body weight and adiposity","Both"
"AIM-66","silbaugh.nodatea","Cerebellar climbing fibers impact experience-dependent plasticity in the mouse primary somatosensory cortex.","Silbaugh A, Koster KP, Hansel C","https://doi.org/10.7554/elife.109183","","","ACCEPT","USER_ACCEPT","silbaugh.nodatea","","Mus musculus: C57BL/6J; PV-Cre; Sst-IRES-Cre; Vip-IRES-Cre; Ai9 reporter","Abby Silbaugh, Kevin P. Koster, Christian Hansel; 2025","1) Inferior olive → cerebellar cortex (climbing fibers, anterograde AAV9-CaMKII-ChR2 in IO) 2) Cerebellar nuclei → zona incerta (anterograde AAV5-hSyn-hChR2-EYFP in CBN) 3) Cerebellar nuclei → ZI neurons → POm and S1 cortex (transsynaptic AAV1-EF1a-Flpo in CBN + Flp-on hSyn-EYFP in ZI) 4) ZI PV+ neurons → S1 L2/3 pyramidal responses (chemogenetic inhibition in PV-Cre mice)","Post-hoc confocal imaging of EYFP in ZI after AAV1-EF1a-Flpo + Flp-dependent reporter; Fluoro-Gold retrograde labeling to rule out TRN; immunohistochemical staining (calbindin, VGLUT2) to delineate landmarks","","Whole-cell current-clamp recordings from retrogradely labeled POm-projecting ZI neurons showed ChR2-evoked EPSPs (10 Hz) with an amplitude reduction but persistence in 1 µM TTX, indicating monosynaptic input; amplitude and latency quantified (Fig. 6E–F).","To convey cerebellar climbing fiber signals via ZI to POm and S1 cortex in order to gate experience-dependent plasticity of L2/3 pyramidal neurons in S1, acting as an instructive error signal","Both"
"AIM-48","silbaugh.nodate","Cerebellar climbing fibers impact experience-dependent plasticity in the mouse primary somatosensory cortex.","Silbaugh A, Koster KP, Hansel C","https://doi.org/10.1101/2025.04.18.649578","","","ACCEPT","USER_ACCEPT","","","","","","","","","",""
"AIM-56","vidal-ortiz.nodate","Unilateral optogenetic stimulation of Lhx6 neurons in the zona incerta increases REM sleep.","Vidal-Ortiz A, Blanco-Centurion C, Shiromani PJ","https://doi.org/10.1093/sleep/zsad217","","","ACCEPT","USER_ACCEPT","","","","","","","","","",""
"UNT-1","sharma2024","Inhibitory medial zona incerta pathway drives exploratory behavior by inhibiting glutamatergic cuneiform neurons","Sandeep Sharma","https://doi.org/10.1038/s41467-024-45288-x","","2024","USER_ACCEPT","USER_ACCEPT","sharma2024","","Mus musculus: vGLUT2-IRES-Cre and vGAT-IRES-Cre transgenic mouse lines","Sandeep Sharma, Cecilia A. Badenhorst, Donovan M. Ashby, Stephanie A. Di Vito, Michelle A. Tran, Zahra Ghavasieh, Gurleen K. Grewal, Cole R. Belway, Alexander McGirr, Patrick J. Whelan (2024)","1) Retrograde tracing: injection of AAVrg-DIO-ChR2-eYFP into CnF of vGAT-IRES-Cre mice → labeled GABAergic cell bodies in medial zona incerta (mZI) (retrograde AAV).
2) Anterograde tracing: injection of AAV-DJ-hSyn-Flex-mGFP-2A-Synaptophysin-mRuby into mZI of vGAT-IRES-Cre mice → synaptophysin-mRUBY+ puncta in ipsilateral CnF (anterograde AAV).
3) RNAscope: fluorescent in situ hybridization for vGLUT2 mRNA combined with SYP-mRUBY immunolabeling in CnF → majority of SYP-mRUBY+ puncta apposed to vGLUT2+ CnF neurons.","Histological verification of viral reporter expression in medial ZI using confocal imaging and alignment to Allen Mouse Brain Atlas; optical fiber tracks confirmed above mZI","Population: mZI vGAT neurons
Indicator: GCaMP6s via AAV9-CAG.Flex.GCaMP6s in vGAT-IRES-Cre; bulk fiber photometry
Behavioral epochs and key findings:
• Immobility (hole-board): no significant change vs baseline (p=0.223)
• Rearing onset: increased Ca2+ (paired t-test, t(4)=4.165, p=0.0141)
• Head-dip onset: robust increase (t(4)=19.19, p<0.0001)
• Thigmotactic locomotion onset: decrease in signal (t(4)=4.085, p=0.0150)
• Focused exploration locomotion: increase (t(4)=7.00, p=0.0022)
• Open field locomotion onset: modest decrease (t(4)=3.638, p=0.0222)
N animals: 5 mice
Signal metric: normalized z-score
Statistical test: two-tailed paired t-test
Control signal: 405 nm isosbestic channel
Hardware: Doric fiber photometry system
Figure refs: Fig. 5d–j (main text)","Bulk extracellular recordings in anesthetized mice; optogenetic activation of mZI vGATChR2 somata (5-pulse, 10 Hz burst) inhibited firing in 7/27 CnF units (26%); no intrinsic electrophysiological properties (Cm, Rin, AP kinetics) were reported","The mZI→CnF GABAergic circuit promotes exploratory behavior by inhibiting glutamatergic CnF neurons.","sufficiency"
"UNT-2","kast2026","Multimodal analysis reveals cellular diversity and divergent circuits of the zona incerta","Ryan Kast","https://doi.org/10.1073/pnas.2509781123","","2026","USER_ACCEPT","USER_ACCEPT","kast2026","","Mouse (adult wild-type for snRNA-seq; Vgat-IRES-Cre, Nos1-IRES-Cre, Spp1-P2A-Cre, Slc30a3-IRES-Cre lines for circuit tracing, FISH, and electrophysiology)","Ryan Kasta; Sean K. Simmons; Nita Romea; Xian Adiconis; Lisa Melamed; Kathryn A. McCabe; Dongqing Wang; Alexandra Krol; Magdalena Krubner; Vincent Prevosto; Kirsten Levandowski; Ubadah Sabbagh; Heather A. Sullivan; Ian R. Wickersham; Fan Wang; Joshua Z. Levin; Zhanyan Fu; Guoping Feng (2026)","Anterograde: Vgat+ ZI→SC; Vgat+ ZI→PAG; Vgat+ ZI→PRN; Vgat+ ZI→nucleus reuniens, POm, CL, PF; Vgat+ ZI→anterior hypothalamic area; Vgat+ ZI→lateral preoptic area. Retrograde: ZI←RN; ZI←PRN; ZI←GRN (predominantly dorsal ZI/Kcng2+ neurons); ZI←POm; ZI←SC; ZI←dmPAG (predominantly ventral ZI/Pax6+ neurons). Collateralization: ZI-SC and ZI-PRN are segregated. Cell-type anterograde: Slc30a3+ ZI→dmPAG; Slc30a3+, Spp1+ ZI→SC, POm. Dorsal ZI Nos1+ and Spp1+→midbrain/pons. Monosynaptic rabies: inputs to ZI-SCSlc30a3+, ZI-SCSpp1+, ZI-PRNSpp1+, ZI-PRNNos1+.","RNA FISH of Gad2, Vglut2, and Pax6 across serial sagittal sections; coexpression to delineate ZI boundaries; exclusion of neighboring STN, thalamus, TRN; FANS of NeuN+ nuclei and removal of non-ZI clusters in snRNA-seq.","Fiber photometry of jGCaMP8m in SC-projecting and PRN-projecting ZI neurons; recordings aligned to lick-bout onset/offset, looming onset, escape onset, freeze onset. ZI-SC: pre-lick increase (AUC P=0.0272), modest bout suppression, activation on escape, strong freeze suppression (P=0.0174). ZI-PRN: no pre-lick increase, suppression during licking (interaction P=0.0415), activation on escape, milder freeze suppression.","1) Ventral ZI Slc30a3+: Cm ~85 pF (N=14), Rin ~1.6 GΩ (N=14); slower APs, depolarization blockade. 2) Ventral ZI Spp1+: Cm ~130 pF (N=25), Rin ~0.8 GΩ (N=25); fast APs, minimal adaptation. 3) Dorsal ZI Nos1+: Cm ~90 pF (N=18), Rin ~1.4 GΩ (N=25); depolarization blockade. 4) Dorsal ZI Spp1+: Cm ~110 pF (N=11), Rin ~1.0 GΩ (N=12); fast APs, no blockade.","To define genetically and anatomically distinct ZI GABAergic neuron subtypes, map their brain-wide inputs and outputs, and determine their functional recruitment during an approach-avoidance conflict between reward consumption and visual threat.","correlation"
